ID,Date,HomeTeam,AwayTeam,Status,HomeScore,AwayScore
381317,2022-11-15 17:34:06,Argentina,Belgium,FINISHED,0,1
381303,2022-11-15 16:17:40,Italy,Poland,FINISHED,0,0
381337,2022-11-15 17:52:55,Brazil,USSR,FINISHED,2,1
381304,2022-11-15 16:18:17,Peru,Cameroon,FINISHED,0,0
381318,2022-11-15 17:35:11,Hungary,El Salvador,FINISHED,10,1
381338,2022-11-15 17:54:05,Scotland,New Zealand,FINISHED,5,2
381309,2022-11-15 16:23:13,Germany,Algeria,FINISHED,1,2
381323,2022-11-15 17:39:36,England,France,FINISHED,3,1
381331,2022-11-15 17:49:19,Spain,Honduras,FINISHED,1,1
381310,2022-11-15 16:24:43,Chile,Austria,FINISHED,0,1
381324,2022-11-15 17:42:22,Czechoslovakia,Kuwait,FINISHED,1,1
381332,2022-11-15 17:49:54,Yugoslavia,N.Ireland,FINISHED,0,0
381305,2022-11-15 16:19:05,Italy,Peru,FINISHED,1,1
381319,2022-11-15 17:36:08,Argentina,Hungary,FINISHED,4,1
381448,2022-11-16 16:32:54,Brazil,Scotland,FINISHED,4,1
381306,2022-11-15 16:20:11,Poland,Cameroon,FINISHED,0,0
381320,2022-11-15 17:36:45,Belgium,El Salvador,FINISHED,1,0
381449,2022-11-16 16:33:52,USSR,New Zealand,FINISHED,3,0
381311,2022-11-15 16:26:06,Germany,Chile,FINISHED,4,1
381325,2022-11-15 17:45:43,England,Czechoslovakia,FINISHED,2,0
381333,2022-11-15 17:50:21,Spain,Yugoslavia,FINISHED,2,1
381312,2022-11-15 16:37:19,Algeria,Austria,FINISHED,0,2
381326,2022-11-15 17:46:37,France,Kuwait,FINISHED,4,1
381334,2022-11-15 17:50:49,Honduras,N.Ireland,FINISHED,1,1
381307,2022-11-15 16:28:59,Poland,Peru,FINISHED,5,1
381321,2022-11-15 17:37:20,Belgium,Hungary,FINISHED,1,1
381339,2022-11-15 17:56:35,USSR,Scotland,FINISHED,2,2
381308,2022-11-15 16:22:09,Italy,Cameroon,FINISHED,1,1
381322,2022-11-15 17:38:17,Argentina,El Salvador,FINISHED,2,0
381340,2022-11-15 17:57:05,Brazil,New Zealand,FINISHED,4,0
381315,2022-11-15 17:30:26,Algeria,Chile,FINISHED,3,2
381327,2022-11-15 17:47:46,France,Czechoslovakia,FINISHED,1,1
381335,2022-11-15 17:51:23,Honduras,Yugoslavia,FINISHED,0,1
381316,2022-11-15 17:33:05,Germany,Austria,FINISHED,1,0
381330,2022-11-15 17:48:21,England,Kuwait,FINISHED,1,0
381336,2022-11-15 17:51:57,Spain,N.Ireland,FINISHED,0,1
381341,2022-11-15 18:23:40,Poland,Belgium,FINISHED,3,0
381350,2022-11-15 18:34:22,Austria,France,FINISHED,0,1
381344,2022-11-15 18:28:23,Germany,England,FINISHED,0,0
381347,2022-11-15 18:31:48,Italy,Argentina,FINISHED,2,1
381342,2022-11-15 18:24:28,Belgium,USSR,FINISHED,0,1
381351,2022-11-15 18:34:59,Austria,N.Ireland,FINISHED,2,2
381345,2022-11-15 18:29:15,Germany,Spain,FINISHED,2,1
381348,2022-11-15 18:32:33,Argentina,Brazil,FINISHED,1,3
381343,2022-11-15 18:27:43,USSR,Poland,FINISHED,0,0
381352,2022-11-15 18:35:46,France,N.Ireland,FINISHED,4,1
381346,2022-11-15 18:30:09,Spain,England,FINISHED,0,0
381349,2022-11-15 18:33:17,Italy,Brazil,FINISHED,3,2
381301,2022-11-15 16:13:50,Poland,Italy,FINISHED,0,2
381302,2022-11-15 16:15:50,Germany,France,FINISHED,1,1
381300,2022-11-15 16:12:44,Poland,France,FINISHED,3,2
381299,2022-11-15 16:11:24,Italy,Germany,FINISHED,3,1
380574,2022-11-12 20:14:29,Bulgaria,Italy,FINISHED,1,1
380586,2022-11-12 20:31:39,Canada,France,FINISHED,0,1
380592,2022-11-12 20:38:53,Spain,Brazil,FINISHED,0,1
380575,2022-11-12 20:15:55,Argentina,South Korea,FINISHED,3,1
380587,2022-11-12 20:33:00,USSR,Hungary,FINISHED,6,0
380607,2022-11-12 21:42:20,Morocco,Poland,FINISHED,0,0
380580,2022-11-12 20:23:36,Belgium,Mexico,FINISHED,1,2
380593,2022-11-12 20:39:43,Algeria,N.Ireland,FINISHED,1,1
380608,2022-11-12 21:43:10,Portugal,England,FINISHED,1,0
380581,2022-11-12 20:24:39,Paraguay,Iraq,FINISHED,1,0
380601,2022-11-12 21:34:39,Uruguay,Germany,FINISHED,1,1
380602,2022-11-12 21:35:41,Scotland,Denmark,FINISHED,0,1
380576,2022-11-12 20:17:07,Italy,Argentina,FINISHED,1,1
380577,2022-11-12 20:18:32,South Korea,Bulgaria,FINISHED,1,1
380588,2022-11-12 20:33:50,France,USSR,FINISHED,1,1
380589,2022-11-12 20:34:37,Hungary,Canada,FINISHED,2,0
380594,2022-11-12 20:40:43,Brazil,Algeria,FINISHED,1,0
380609,2022-11-12 21:43:56,England,Morocco,FINISHED,0,0
380582,2022-11-12 20:25:53,Mexico,Paraguay,FINISHED,1,1
380595,2022-11-12 20:41:41,N.Ireland,Spain,FINISHED,1,2
380610,2022-11-12 21:44:47,Poland,Portugal,FINISHED,1,0
380583,2022-11-12 20:27:01,Iraq,Belgium,FINISHED,1,2
380603,2022-11-12 21:36:53,Germany,Scotland,FINISHED,2,1
380604,2022-11-12 21:38:42,Denmark,Uruguay,FINISHED,6,1
380590,2022-11-12 20:35:25,Hungary,France,FINISHED,0,3
380591,2022-11-12 20:36:20,USSR,Canada,FINISHED,2,0
380578,2022-11-12 20:19:58,South Korea,Italy,FINISHED,2,3
380579,2022-11-12 20:20:42,Argentina,Bulgaria,FINISHED,2,0
380584,2022-11-12 20:28:15,Paraguay,Belgium,FINISHED,2,2
380585,2022-11-12 20:29:13,Iraq,Mexico,FINISHED,0,1
380614,2022-11-12 21:45:56,England,Poland,FINISHED,3,0
380615,2022-11-12 21:47:02,Portugal,Morocco,FINISHED,1,3
380596,2022-11-12 20:43:06,N.Ireland,Brazil,FINISHED,0,3
380597,2022-11-12 20:44:04,Algeria,Spain,FINISHED,0,3
380605,2022-11-12 21:39:33,Denmark,Germany,FINISHED,2,0
380606,2022-11-12 21:40:27,Scotland,Uruguay,FINISHED,0,0
380616,2022-11-12 21:50:01,Mexico,Bulgaria,FINISHED,2,0
380617,2022-11-12 21:52:08,USSR,Belgium,FINISHED,2,2
380618,2022-11-12 21:53:14,Brazil,Poland,FINISHED,4,0
380619,2022-11-12 21:54:16,Argentina,Uruguay,FINISHED,1,0
380620,2022-11-12 21:55:42,Italy,France,FINISHED,0,2
380621,2022-11-12 21:56:53,Morocco,Germany,FINISHED,0,1
380622,2022-11-12 21:58:02,England,Paraguay,FINISHED,3,0
380623,2022-11-12 21:59:35,Denmark,Spain,FINISHED,1,5
380624,2022-11-12 22:01:17,Brazil,France,FINISHED,1,1
380625,2022-11-12 22:02:25,Germany,Mexico,FINISHED,0,0
380626,2022-11-12 22:03:25,Argentina,England,FINISHED,2,1
380627,2022-11-12 22:04:40,Spain,Belgium,FINISHED,1,1
380628,2022-11-12 22:06:01,France,Germany,FINISHED,0,2
380629,2022-11-12 22:07:03,Argentina,Belgium,FINISHED,2,0
380630,2022-11-12 22:09:06,Belgium,France,FINISHED,2,2
380631,2022-11-12 22:10:44,Argentina,Germany,FINISHED,3,2
380539,2022-11-12 19:22:18,Argentina,Cameroon,FINISHED,0,1
380533,2022-11-12 19:07:04,Italy,Austria,FINISHED,1,0
380540,2022-11-12 19:22:06,USSR,Romania,FINISHED,0,2
380551,2022-11-12 19:43:51,U.A.E.,Colombia,FINISHED,0,2
380534,2022-11-12 19:09:05,USA,Czechoslovakia,FINISHED,1,5
380545,2022-11-12 19:27:12,Brazil,Sweden,FINISHED,2,1
380553,2022-11-12 19:45:18,Germany,Yugoslavia,FINISHED,4,1
380546,2022-11-12 19:28:00,Costa Rica,Scotland,FINISHED,1,0
380568,2022-11-12 19:55:27,England,Republic of Ireland,FINISHED,1,1
380562,2022-11-12 19:49:48,Belgium,South Korea,FINISHED,2,0
380569,2022-11-12 19:56:22,Netherlands,Egypt,FINISHED,1,1
380541,2022-11-12 19:21:45,Argentina,USSR,FINISHED,2,0
380563,2022-11-12 19:50:35,Uruguay,Spain,FINISHED,0,0
380535,2022-11-12 19:10:04,Italy,USA,FINISHED,1,0
380542,2022-11-12 19:24:35,Cameroon,Romania,FINISHED,2,1
380557,2022-11-12 19:45:55,Yugoslavia,Colombia,FINISHED,1,0
380536,2022-11-12 19:10:49,Austria,Czechoslovakia,FINISHED,0,1
380558,2022-11-12 19:46:41,Germany,U.A.E.,FINISHED,5,1
380547,2022-11-12 19:28:54,Brazil,Costa Rica,FINISHED,1,0
380548,2022-11-12 19:29:38,Sweden,Scotland,FINISHED,1,2
380570,2022-11-12 19:56:58,England,Netherlands,FINISHED,0,0
380564,2022-11-12 19:51:24,Belgium,Uruguay,FINISHED,3,1
380565,2022-11-12 19:52:18,South Korea,Spain,FINISHED,1,3
380571,2022-11-12 19:57:34,Republic of Ireland,Egypt,FINISHED,0,0
380543,2022-11-12 19:24:06,Argentina,Romania,FINISHED,1,1
380544,2022-11-12 19:25:32,Cameroon,USSR,FINISHED,0,4
380537,2022-11-12 19:11:33,Italy,Czechoslovakia,FINISHED,2,0
380538,2022-11-12 19:16:28,Austria,USA,FINISHED,2,1
380559,2022-11-12 19:47:36,Germany,Colombia,FINISHED,1,1
380560,2022-11-12 19:48:21,Yugoslavia,U.A.E.,FINISHED,4,1
380549,2022-11-12 19:30:33,Brazil,Scotland,FINISHED,1,0
380550,2022-11-12 19:31:25,Sweden,Costa Rica,FINISHED,1,2
380566,2022-11-12 19:53:12,Belgium,Spain,FINISHED,1,2
380567,2022-11-12 19:53:53,South Korea,Uruguay,FINISHED,0,1
380572,2022-11-12 19:59:20,England,Egypt,FINISHED,1,0
380573,2022-11-12 20:01:40,Republic of Ireland,Netherlands,FINISHED,1,1
380525,2022-11-12 18:55:00,Cameroon,Colombia,FINISHED,0,0
380526,2022-11-12 18:57:24,Czechoslovakia,Costa Rica,FINISHED,4,1
380527,2022-11-12 18:58:06,Brazil,Argentina,FINISHED,0,1
380528,2022-11-12 18:59:26,Germany,Netherlands,FINISHED,2,1
380529,2022-11-12 19:01:07,Republic of Ireland,Romania,FINISHED,0,0
380530,2022-11-12 19:02:52,Italy,Uruguay,FINISHED,2,0
380531,2022-11-12 19:04:10,Spain,Yugoslavia,FINISHED,1,2
380532,2022-11-12 19:05:16,England,Belgium,FINISHED,0,0
380507,2022-11-12 18:42:26,Argentina,Yugoslavia,FINISHED,0,0
380508,2022-11-12 18:44:48,Republic of Ireland,Italy,FINISHED,0,1
380523,2022-11-12 18:50:37,Czechoslovakia,Germany,FINISHED,0,1
380524,2022-11-12 18:51:57,Cameroon,England,FINISHED,2,2
380505,2022-11-12 18:20:17,Argentina,Italy,FINISHED,1,1
380506,2022-11-12 18:19:36,Germany,England,FINISHED,1,1
380504,2022-11-12 18:14:00,Italy,England,FINISHED,2,1
380503,2022-11-12 18:12:09,Germany,Argentina,FINISHED,1,0
377231,2022-11-02 22:41:09,Germany,Bolivia,FINISHED,1,0
377232,2022-11-02 22:43:33,Spain,South Korea,FINISHED,2,2
377114,2022-11-02 08:54:20,USA,Switzerland,FINISHED,1,1
377212,2022-11-02 20:16:47,Colombia,Romania,FINISHED,1,3
377243,2022-11-02 23:17:31,Italy,Republic of Ireland,FINISHED,0,1
377225,2022-11-02 22:18:30,Cameroon,Sweden,FINISHED,2,2
377244,2022-11-02 23:19:11,Norway,Mexico,FINISHED,1,0
377275,2022-11-03 11:06:46,Belgium,Morocco,FINISHED,1,0
377226,2022-11-02 22:21:26,Brazil,Russia,FINISHED,2,0
377276,2022-11-03 11:07:58,Netherlands,Saudi Arabia,FINISHED,2,1
377233,2022-11-02 22:45:08,Germany,Spain,FINISHED,1,1
377237,2022-11-02 23:02:53,Argentina,Greece,FINISHED,4,0
377238,2022-11-02 23:05:47,Nigeria,Bulgaria,FINISHED,3,0
377221,2022-11-02 22:05:26,Romania,Switzerland,FINISHED,1,4
377222,2022-11-02 22:09:03,USA,Colombia,FINISHED,2,1
377234,2022-11-02 22:46:37,South Korea,Bolivia,FINISHED,0,0
377271,2022-11-03 10:59:52,Italy,Norway,FINISHED,1,0
377227,2022-11-02 22:22:59,Brazil,Cameroon,FINISHED,3,0
377228,2022-11-02 22:34:22,Sweden,Russia,FINISHED,3,1
377272,2022-11-03 11:01:35,Mexico,Republic of Ireland,FINISHED,2,1
377239,2022-11-02 23:07:28,Argentina,Nigeria,FINISHED,2,1
377277,2022-11-03 11:09:08,Belgium,Netherlands,FINISHED,1,0
377278,2022-11-03 11:10:14,Saudi Arabia,Morocco,FINISHED,2,1
377223,2022-11-02 22:11:14,Switzerland,Colombia,FINISHED,0,2
377224,2022-11-02 22:12:57,USA,Romania,FINISHED,0,1
377240,2022-11-02 23:09:28,Bulgaria,Greece,FINISHED,4,0
377235,2022-11-02 22:48:51,Bolivia,Spain,FINISHED,1,3
377236,2022-11-02 22:50:05,Germany,South Korea,FINISHED,3,2
377229,2022-11-02 22:35:59,Russia,Cameroon,FINISHED,6,1
377230,2022-11-02 22:37:41,Brazil,Sweden,FINISHED,1,1
377273,2022-11-03 11:02:43,Italy,Mexico,FINISHED,1,1
377274,2022-11-03 11:03:53,Republic of Ireland,Norway,FINISHED,0,0
377279,2022-11-03 11:11:14,Belgium,Saudi Arabia,FINISHED,0,1
377280,2022-11-03 11:12:13,Morocco,Netherlands,FINISHED,1,2
377241,2022-11-02 23:10:46,Argentina,Bulgaria,FINISHED,0,2
377242,2022-11-02 23:13:28,Greece,Nigeria,FINISHED,0,2
377281,2022-11-03 11:19:47,Germany,Belgium,FINISHED,3,2
377282,2022-11-03 11:21:14,Spain,Switzerland,FINISHED,3,0
377285,2022-11-03 11:26:10,Netherlands,Republic of Ireland,FINISHED,2,0
377286,2022-11-03 11:27:49,Brazil,USA,FINISHED,1,0
377287,2022-11-03 11:31:18,Nigeria,Italy,FINISHED,1,1
377288,2022-11-03 11:33:35,Mexico,Bulgaria,FINISHED,1,1
377289,2022-11-03 11:37:05,Italy,Spain,FINISHED,2,1
377290,2022-11-03 11:38:52,Netherlands,Brazil,FINISHED,2,3
377291,2022-11-03 11:40:26,Bulgaria,Germany,FINISHED,2,1
377292,2022-11-03 11:42:46,Romania,Sweden,FINISHED,1,1
377300,2022-11-03 11:46:55,Bulgaria,Italy,FINISHED,1,2
377301,2022-11-03 11:48:09,Sweden,Brazil,FINISHED,0,1
377303,2022-11-03 11:50:43,Sweden,Bulgaria,FINISHED,4,0
377304,2022-11-03 11:57:30,Brazil,Italy,FINISHED,0,0
378979,2022-11-08 02:41:23,Brazil,Scotland,FINISHED,2,1
378980,2022-11-08 02:44:11,Morocco,Norway,FINISHED,2,2
378985,2022-11-08 02:56:22,Italy,Chile,FINISHED,2,2
378986,2022-11-08 02:57:37,Cameroon,Austria,FINISHED,1,1
378991,2022-11-08 03:08:54,Saudi Arabia,Denmark,FINISHED,0,1
378992,2022-11-08 03:10:32,France,South Africa,FINISHED,3,0
378997,2022-11-08 03:18:07,Paraguay,Bulgaria,FINISHED,0,0
378998,2022-11-08 03:19:23,Spain,Nigeria,FINISHED,2,3
379003,2022-11-08 03:30:31,South Korea,Mexico,FINISHED,1,3
379004,2022-11-08 03:31:32,Netherlands,Belgium,FINISHED,0,0
379009,2022-11-08 03:37:45,Yugoslavia,Iran,FINISHED,1,0
379021,2022-11-08 05:22:39,Argentina,Japan,FINISHED,1,0
379022,2022-11-08 05:23:45,Jamaica,Croatia,FINISHED,1,3
379010,2022-11-08 03:38:39,Germany,USA,FINISHED,2,0
379015,2022-11-08 05:14:07,England,Tunisia,FINISHED,2,0
379016,2022-11-08 05:15:18,Romania,Colombia,FINISHED,1,0
378981,2022-11-08 02:45:37,Scotland,Norway,FINISHED,1,1
378982,2022-11-08 02:48:19,Brazil,Morocco,FINISHED,3,0
378987,2022-11-08 03:00:48,Chile,Austria,FINISHED,1,1
378988,2022-11-08 03:02:07,Italy,Cameroon,FINISHED,3,0
378993,2022-11-08 03:11:41,South Africa,Denmark,FINISHED,1,1
378994,2022-11-08 03:12:47,France,Saudi Arabia,FINISHED,4,0
378999,2022-11-08 03:20:33,Nigeria,Bulgaria,FINISHED,1,0
379000,2022-11-08 03:21:34,Spain,Paraguay,FINISHED,0,0
379005,2022-11-08 03:32:55,Belgium,Mexico,FINISHED,2,2
379006,2022-11-08 03:34:07,Netherlands,South Korea,FINISHED,5,0
379023,2022-11-08 05:24:53,Japan,Croatia,FINISHED,0,1
379011,2022-11-08 03:39:43,Germany,Yugoslavia,FINISHED,2,2
379012,2022-11-08 05:02:46,USA,Iran,FINISHED,1,2
379024,2022-11-08 05:26:29,Argentina,Jamaica,FINISHED,5,0
379017,2022-11-08 05:16:13,Colombia,Tunisia,FINISHED,1,0
379018,2022-11-08 05:17:20,Romania,England,FINISHED,2,1
378983,2022-11-08 02:50:11,Scotland,Morocco,FINISHED,0,3
378984,2022-11-08 02:52:18,Brazil,Norway,FINISHED,1,2
378989,2022-11-08 03:03:29,Italy,Austria,FINISHED,2,1
378990,2022-11-08 03:07:02,Chile,Cameroon,FINISHED,1,1
378995,2022-11-08 03:14:04,France,Denmark,FINISHED,2,1
378996,2022-11-08 03:15:35,South Africa,Saudi Arabia,FINISHED,2,2
379001,2022-11-08 03:22:42,Nigeria,Paraguay,FINISHED,1,3
379002,2022-11-08 03:24:27,Spain,Bulgaria,FINISHED,6,1
379007,2022-11-08 03:35:26,Netherlands,Mexico,FINISHED,2,2
379008,2022-11-08 03:36:15,Belgium,South Korea,FINISHED,1,1
379013,2022-11-08 05:04:18,Germany,Iran,FINISHED,2,0
379014,2022-11-08 05:11:41,USA,Yugoslavia,FINISHED,0,1
379019,2022-11-08 05:18:28,Colombia,England,FINISHED,0,2
379020,2022-11-08 05:19:44,Romania,Tunisia,FINISHED,1,1
379025,2022-11-08 05:27:36,Argentina,Croatia,FINISHED,1,0
379026,2022-11-08 05:29:21,Japan,Jamaica,FINISHED,1,2
379027,2022-11-08 05:32:20,Italy,Norway,FINISHED,1,0
379028,2022-11-08 05:33:43,Brazil,Chile,FINISHED,4,1
379029,2022-11-08 05:35:03,France,Paraguay,FINISHED,0,0
379030,2022-11-08 05:36:25,Nigeria,Denmark,FINISHED,1,4
379031,2022-11-08 05:37:40,Germany,Mexico,FINISHED,2,1
379032,2022-11-08 05:39:32,Netherlands,Yugoslavia,FINISHED,2,1
379033,2022-11-08 05:41:02,Romania,Croatia,FINISHED,0,1
379034,2022-11-08 05:42:38,Argentina,England,FINISHED,2,2
379035,2022-11-08 05:44:31,Italy,France,FINISHED,0,0
379036,2022-11-08 05:45:46,Brazil,Denmark,FINISHED,3,2
379037,2022-11-08 05:47:07,Netherlands,Argentina,FINISHED,2,1
379038,2022-11-08 05:48:46,Germany,Croatia,FINISHED,0,3
379039,2022-11-08 05:54:00,Brazil,Netherlands,FINISHED,1,1
379040,2022-11-08 05:55:23,France,Croatia,FINISHED,2,1
379041,2022-11-08 05:56:58,Netherlands,Croatia,FINISHED,1,2
379042,2022-11-08 05:58:21,Brazil,France,FINISHED,0,3
374720,2022-10-31 12:35:07,France,Senegal,FINISHED,0,1
374721,2022-10-25 14:39:27,Uruguay,Denmark,FINISHED,1,2
375037,2022-10-26 17:40:32,Republic of Ireland,Cameroon,FINISHED,1,1
375044,2022-10-26 18:11:52,Germany,Saudi Arabia,FINISHED,8,0
375014,2022-10-26 16:26:30,Paraguay,South Africa,FINISHED,2,2
375015,2022-10-26 16:33:33,Spain,Slovenia,FINISHED,3,1
375049,2022-10-26 18:24:57,Argentina,Nigeria,FINISHED,1,0
375050,2022-10-26 18:26:23,England,Sweden,FINISHED,1,1
375018,2022-10-26 16:42:53,Brazil,Turkey,FINISHED,2,1
375055,2022-10-26 18:34:22,Croatia,Mexico,FINISHED,0,1
375056,2022-10-26 18:35:20,Italy,Ecuador,FINISHED,2,0
375019,2022-10-26 16:44:49,China,Costa Rica,FINISHED,0,2
375025,2022-10-26 17:00:38,South Korea,Poland,FINISHED,2,0
375061,2022-10-26 18:44:32,Japan,Belgium,FINISHED,2,2
375026,2022-10-26 17:05:13,USA,Portugal,FINISHED,3,2
375045,2022-10-26 18:13:31,Germany,Republic of Ireland,FINISHED,1,1
375073,2022-10-26 18:45:57,Russia,Tunisia,FINISHED,2,0
374722,2022-10-25 14:39:57,Denmark,Senegal,FINISHED,1,1
374723,2022-10-25 14:40:45,France,Uruguay,FINISHED,0,0
375046,2022-10-26 18:15:59,Cameroon,Saudi Arabia,FINISHED,1,0
375016,2022-10-26 16:36:00,Spain,Paraguay,FINISHED,3,1
375051,2022-10-26 18:27:58,Sweden,Nigeria,FINISHED,2,1
375052,2022-10-26 18:29:16,Argentina,England,FINISHED,0,1
375017,2022-10-26 16:38:11,South Africa,Slovenia,FINISHED,1,0
375022,2022-10-26 16:46:42,Brazil,China,FINISHED,4,0
375057,2022-10-26 18:37:04,Italy,Croatia,FINISHED,1,2
375024,2022-10-26 16:49:52,Costa Rica,Turkey,FINISHED,1,1
375058,2022-10-26 18:38:15,Mexico,Ecuador,FINISHED,2,1
375074,2022-10-26 18:47:03,Japan,Russia,FINISHED,1,0
375027,2022-10-26 17:10:09,South Korea,USA,FINISHED,1,1
375028,2022-10-26 17:11:46,Portugal,Poland,FINISHED,4,0
375075,2022-10-26 18:48:08,Tunisia,Belgium,FINISHED,1,1
